Project.clutch.ID,Breeding.year,Common.species,Latin.species,Analyses.breeding.habitat.type,Region.Country,Region.County,county,Region.central.longitude.coordinate,Region.central.latitude.coordinate,Clutch.size,Clutch.no.eggs.Hatched,Clutch.no.eggs.Failed,Clutch.no.eggs.Abandoned,Clutch.no.eggs.Predated,Clutch.no.eggs.Damaged,Clutch.no.eggs.Unknown,Phase.1.failed.only,Phase.2.failed.only,Phase.3.failed.only,NA.and.Unknown.embryo.mortality.data.failed.only,Phase.1.failedandabandoned,Phase.2.failedandabandoned,Phase.3.failedandabandoned,NA.and.Unknown.embryo.mortality.data.failedandabandoned,Hatched,Incubation.type
Headstart.Clutch.1,2022,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.2,2022,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,2,2,0,0,0,0,1,0,0,1,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.3,2022,Eurasian Curlew,Numenius arquata,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.4,2022,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,2,2,0,0,0,0,2,0,0,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.5,2022,Eurasian Curlew,Numenius arquata,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.6,2022,Eurasian Curlew,Numenius arquata,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.7,2022,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.8,2022,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,3,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.9,2022,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,3,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.10,2022,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,3,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.11,2022,Eurasian Curlew,Numenius arquata,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,3,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
