Egg.ID,Project.clutch.ID,Project.clutch.ID.x,Breeding.year,Analyses.breeding.habitat.type,Region.Country,Region.County,county,Region.central.longitude.coordinate,Region.central.latitude.coordinate,Clutch.size,Analyses.Clutch.Failure.Category,Incubation.type,Fertility,Hatching.outcome,Hatching.outcome.binomial,Analyses.Failed.egg.category,Embryo.stage,Ordinal.embryo.staging,Cooney.et.al.Phase.category
Headstart.egg.1,Headstart.Clutch.1,ECC_3.2022.1,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.2,Headstart.Clutch.1,ECC_3.2022.1,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.3,Headstart.Clutch.1,ECC_3.2022.1,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.4,Headstart.Clutch.2,ECC_3.2022.10,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Unclear,Unhatched,0,Failed,Unknown (but likely early) - BUT UNCLEAR FERTILITY,NA,NA
Headstart.egg.5,Headstart.Clutch.2,ECC_3.2022.10,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Unhatched,0,Failed,Up to stage 4,2.5,Phase.1
Headstart.egg.6,Headstart.Clutch.2,ECC_3.2022.10,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.7,Headstart.Clutch.2,ECC_3.2022.10,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.8,Headstart.Clutch.3,ECC_3.2022.11,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.9,Headstart.Clutch.3,ECC_3.2022.11,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.10,Headstart.Clutch.3,ECC_3.2022.11,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
